Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Respiratory Rate (count/min),Steps (count)
16-Jan-2016 21:00,16-Jan-2016 22:00,0.0,0.12390141573212,0.0,0.0,0.0,228.0
16-Jan-2016 22:00,16-Jan-2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0
16-Jan-2016 23:00,17-Jan-2016 00:00,0.0,0.0052169789603723,0.0,0.0,0.0,0.0
17-Jan-2016 00:00,17-Jan-2016 01:00,0.0,0.331895533964129,10.0,0.0,0.0,729.0
17-Jan-2016 01:00,17-Jan-2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2016 02:00,17-Jan-2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2016 03:00,17-Jan-2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2016 04:00,17-Jan-2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2016 05:00,17-Jan-2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2016 06:00,17-Jan-2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2016 07:00,17-Jan-2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2016 08:00,17-Jan-2016 09:00,0.0,0.181595730931352,0.0,0.0,0.0,406.0
17-Jan-2016 09:00,17-Jan-2016 10:00,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2016 10:00,17-Jan-2016 11:00,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2016 11:00,17-Jan-2016 12:00,0.0,0.128915881253475,0.0,0.0,0.0,248.0
17-Jan-2016 12:00,17-Jan-2016 13:00,0.0,0.306567766353663,0.0,0.0,0.0,787.389673392822
17-Jan-2016 13:00,17-Jan-2016 14:00,0.0,0.197749520689996,0.0,0.0,0.0,465.610326607178
17-Jan-2016 14:00,17-Jan-2016 15:00,0.0,0.176494273443089,0.0,0.0,0.0,377.0
17-Jan-2016 15:00,17-Jan-2016 16:00,0.0,0.0880929583019551,0.0,0.0,0.0,201.333289757774
17-Jan-2016 16:00,17-Jan-2016 17:00,0.0,0.309131003759593,0.0,0.0,0.0,665.666710242226
17-Jan-2016 17:00,17-Jan-2016 18:00,0.0,0.128673546488499,0.0,0.0,0.0,320.0
17-Jan-2016 18:00,17-Jan-2016 19:00,0.0,0.642475110052269,0.0,0.0,0.0,1456.85751868303
17-Jan-2016 19:00,17-Jan-2016 20:00,0.0,0.00846713722362361,0.0,0.0,0.0,21.1424813169699
17-Jan-2016 20:00,17-Jan-2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2016 21:00,17-Jan-2016 22:00,0.0,0.154882983377081,0.0,0.0,0.0,375.0
17-Jan-2016 22:00,17-Jan-2016 23:00,0.0,0.309094885866526,10.0,0.0,0.0,675.0
17-Jan-2016 23:00,18-Jan-2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 00:00,18-Jan-2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 01:00,18-Jan-2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 02:00,18-Jan-2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 03:00,18-Jan-2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 04:00,18-Jan-2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 05:00,18-Jan-2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 06:00,18-Jan-2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 07:00,18-Jan-2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 08:00,18-Jan-2016 09:00,0.0,0.00258292048171543,0.0,0.0,0.0,0.0
18-Jan-2016 09:00,18-Jan-2016 10:00,0.0,0.18502146987858,0.0,0.0,0.0,394.0
18-Jan-2016 10:00,18-Jan-2016 11:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 11:00,18-Jan-2016 12:00,0.0,0.569269217768233,0.0,0.0,0.0,1216.0
